dt,c_kwH
24/01/2024 23:00,7.17
25/01/2024 0:00,5.53
25/01/2024 1:00,4.84
25/01/2024 2:00,4.88
25/01/2024 3:00,4.86
25/01/2024 4:00,4.73
25/01/2024 5:00,4.72
25/01/2024 6:00,6.98
25/01/2024 7:00,14.63
25/01/2024 8:00,12.2
25/01/2024 9:00,12.79
25/01/2024 10:00,12.42
25/01/2024 11:00,10.24
25/01/2024 12:00,8.86
25/01/2024 13:00,7.87
25/01/2024 14:00,7.5
25/01/2024 15:00,7.81
25/01/2024 16:00,9.2
25/01/2024 17:00,9.99
25/01/2024 18:00,10.86
25/01/2024 19:00,12.66
25/01/2024 20:00,12.2
25/01/2024 21:00,12
25/01/2024 22:00,10.61
25/01/2024 23:00,8.58
26/01/2024 0:00,7.94
26/01/2024 1:00,7.44
26/01/2024 2:00,6.28
26/01/2024 3:00,6.2
26/01/2024 4:00,5.85
26/01/2024 5:00,5.8
26/01/2024 6:00,6.8
26/01/2024 7:00,9
26/01/2024 8:00,9.93
26/01/2024 9:00,12.01
26/01/2024 10:00,11.48
26/01/2024 11:00,10.15
26/01/2024 12:00,9.35
26/01/2024 13:00,9.17
26/01/2024 14:00,8.08
26/01/2024 15:00,8.75
26/01/2024 16:00,9.49
26/01/2024 17:00,10.17
26/01/2024 18:00,11.74
26/01/2024 19:00,12.2
26/01/2024 20:00,11.81
26/01/2024 21:00,10.77
26/01/2024 22:00,10.13
26/01/2024 23:00,9.86
27/01/2024 0:00,6.3
27/01/2024 1:00,7.03
27/01/2024 2:00,7.06
27/01/2024 3:00,5.72
27/01/2024 4:00,5.96
27/01/2024 5:00,5.6
27/01/2024 6:00,5.6
27/01/2024 7:00,5.9
27/01/2024 8:00,6.03
27/01/2024 9:00,7.44
27/01/2024 10:00,11.42
27/01/2024 11:00,10.42
27/01/2024 12:00,9.5
27/01/2024 13:00,6
27/01/2024 14:00,5.58
27/01/2024 15:00,5.39
27/01/2024 16:00,6.28
27/01/2024 17:00,7.83
27/01/2024 18:00,10.21
27/01/2024 19:00,10.65
27/01/2024 20:00,10.58
27/01/2024 21:00,9.91
27/01/2024 22:00,8.5
27/01/2024 23:00,7.94
28/01/2024 0:00,7.6
28/01/2024 1:00,7.27
28/01/2024 2:00,6.68
28/01/2024 3:00,6.06
28/01/2024 4:00,5.89
28/01/2024 5:00,5.85
28/01/2024 6:00,5.95
28/01/2024 7:00,6.18
28/01/2024 8:00,5.9
28/01/2024 9:00,6.78
28/01/2024 10:00,6.88
28/01/2024 11:00,6.68
28/01/2024 12:00,6.46
28/01/2024 13:00,5
28/01/2024 14:00,5
28/01/2024 15:00,4.72
28/01/2024 16:00,6.71
28/01/2024 17:00,7.73
28/01/2024 18:00,8.83
28/01/2024 19:00,9.84
28/01/2024 20:00,9.23
28/01/2024 21:00,8.94
28/01/2024 22:00,8.67
28/01/2024 23:00,7.66
29/01/2024 0:00,6.98
29/01/2024 1:00,5.6
29/01/2024 2:00,5
29/01/2024 3:00,4.73
29/01/2024 4:00,4.81
29/01/2024 5:00,4.8
29/01/2024 6:00,5.16
29/01/2024 7:00,6.01
29/01/2024 8:00,9.68
29/01/2024 9:00,10.31
29/01/2024 10:00,10.68
29/01/2024 11:00,8.84
29/01/2024 12:00,7.89
29/01/2024 13:00,7.13
29/01/2024 14:00,7.02
29/01/2024 15:00,8.65
29/01/2024 16:00,9.6
29/01/2024 17:00,10.05
29/01/2024 18:00,10.98
29/01/2024 19:00,12.63
29/01/2024 20:00,12.07
29/01/2024 21:00,10.75
29/01/2024 22:00,9.17
29/01/2024 23:00,8.61
30/01/2024 0:00,8.33
30/01/2024 1:00,8.03
30/01/2024 2:00,7.19
30/01/2024 3:00,6.88
30/01/2024 4:00,6.94
30/01/2024 5:00,6.72
30/01/2024 6:00,6.68
30/01/2024 7:00,6.94
30/01/2024 8:00,9.6
30/01/2024 9:00,10.76
30/01/2024 10:00,9.62
30/01/2024 11:00,8.49
30/01/2024 12:00,7.72
30/01/2024 13:00,7.01
30/01/2024 14:00,6.81
30/01/2024 15:00,6.82
30/01/2024 16:00,7.19
30/01/2024 17:00,9.62
30/01/2024 18:00,10.86
30/01/2024 19:00,12.2
30/01/2024 20:00,12.2
30/01/2024 21:00,11.81
30/01/2024 22:00,10.81
30/01/2024 23:00,10.02
31/01/2024 0:00,8.45
31/01/2024 1:00,7.25
31/01/2024 2:00,7.51
31/01/2024 3:00,8.56
31/01/2024 4:00,7.09
31/01/2024 5:00,6.98
31/01/2024 6:00,8
31/01/2024 7:00,9.51
31/01/2024 8:00,10.34
31/01/2024 9:00,12.2
31/01/2024 10:00,12.54
31/01/2024 11:00,9.36
31/01/2024 12:00,8.3
31/01/2024 13:00,7.71
31/01/2024 14:00,7.49
31/01/2024 15:00,7.24
31/01/2024 16:00,8.22
31/01/2024 17:00,9.7
31/01/2024 18:00,12.2
31/01/2024 19:00,12.2
31/01/2024 20:00,12.27
31/01/2024 21:00,12.2
31/01/2024 22:00,12.2
31/01/2024 23:00,10.14
01/02/2024 0:00,10.16
01/02/2024 1:00,8.9
01/02/2024 2:00,8.92
01/02/2024 3:00,8.59
01/02/2024 4:00,8
01/02/2024 5:00,7.31
01/02/2024 6:00,8.38
01/02/2024 7:00,9.96
01/02/2024 8:00,10.74
01/02/2024 9:00,12.2
01/02/2024 10:00,10.3
01/02/2024 11:00,8.87
01/02/2024 12:00,8.69
01/02/2024 13:00,8.13
01/02/2024 14:00,7.83
01/02/2024 15:00,8
01/02/2024 16:00,8.41
01/02/2024 17:00,9.64
01/02/2024 18:00,10.26
01/02/2024 19:00,12.2
01/02/2024 20:00,13.1
01/02/2024 21:00,12.2
01/02/2024 22:00,11.07
01/02/2024 23:00,10.8
02/02/2024 0:00,9.95
02/02/2024 1:00,9.47
02/02/2024 2:00,9.04
02/02/2024 3:00,6.81
02/02/2024 4:00,5.8
02/02/2024 5:00,5.47
02/02/2024 6:00,5.6
02/02/2024 7:00,7.44
02/02/2024 8:00,10.04
02/02/2024 9:00,12.07
02/02/2024 10:00,11.11
02/02/2024 11:00,9.63
02/02/2024 12:00,8.16
02/02/2024 13:00,7.64
02/02/2024 14:00,7.06
02/02/2024 15:00,7
02/02/2024 16:00,7.71
02/02/2024 17:00,9.05
02/02/2024 18:00,10.86
02/02/2024 19:00,11.86
02/02/2024 20:00,12.15
02/02/2024 21:00,11.27
02/02/2024 22:00,10.9
02/02/2024 23:00,9.55
03/02/2024 0:00,8.99
03/02/2024 1:00,7.65
03/02/2024 2:00,9.11
03/02/2024 3:00,8.83
03/02/2024 4:00,8.3
03/02/2024 5:00,7.65
03/02/2024 6:00,7.65
03/02/2024 7:00,7.87
03/02/2024 8:00,7.6
03/02/2024 9:00,8.66
03/02/2024 10:00,6.79
03/02/2024 11:00,6.07
03/02/2024 12:00,5.29
03/02/2024 13:00,4.52
03/02/2024 14:00,4.16
03/02/2024 15:00,4.07
03/02/2024 16:00,4.42
03/02/2024 17:00,7.4
03/02/2024 18:00,9.05
03/02/2024 19:00,10.66
03/02/2024 20:00,11.2
03/02/2024 21:00,9.71
03/02/2024 22:00,9.11
03/02/2024 23:00,9.05
04/02/2024 0:00,6.17
04/02/2024 1:00,5.04
04/02/2024 2:00,3.83
04/02/2024 3:00,2.41
04/02/2024 4:00,2.8
04/02/2024 5:00,1.24
04/02/2024 6:00,1.03
04/02/2024 7:00,2.9
04/02/2024 8:00,3.66
04/02/2024 9:00,8.62
04/02/2024 10:00,4.1
04/02/2024 11:00,3.87
04/02/2024 12:00,2.97
04/02/2024 13:00,2.57
04/02/2024 14:00,1.94
04/02/2024 15:00,1.37
04/02/2024 16:00,2.98
04/02/2024 17:00,8.5
04/02/2024 18:00,8.52
04/02/2024 19:00,9.5
04/02/2024 20:00,10.35
04/02/2024 21:00,8.8
04/02/2024 22:00,9.05
04/02/2024 23:00,6.44
05/02/2024 0:00,5.59
05/02/2024 1:00,4.48
05/02/2024 2:00,3.1
05/02/2024 3:00,3.11
05/02/2024 4:00,1.85
05/02/2024 5:00,0.96
05/02/2024 6:00,0.77
05/02/2024 7:00,5.2
05/02/2024 8:00,10
05/02/2024 9:00,11
05/02/2024 10:00,9.29
05/02/2024 11:00,7.6
05/02/2024 12:00,5.83
05/02/2024 13:00,4.7
05/02/2024 14:00,3.64
05/02/2024 15:00,3.17
05/02/2024 16:00,5.91
05/02/2024 17:00,7.46
05/02/2024 18:00,8.33
05/02/2024 19:00,9.81
05/02/2024 20:00,9.22
05/02/2024 21:00,8.73
05/02/2024 22:00,8.27
05/02/2024 23:00,7.52
06/02/2024 0:00,6.72
06/02/2024 1:00,5.71
06/02/2024 2:00,4.95
06/02/2024 3:00,4.78
06/02/2024 4:00,4.64
06/02/2024 5:00,4.39
06/02/2024 6:00,4.35
06/02/2024 7:00,5.29
06/02/2024 8:00,8.39
06/02/2024 9:00,9.23
06/02/2024 10:00,8.38
06/02/2024 11:00,7.14
06/02/2024 12:00,6.07
06/02/2024 13:00,4.77
06/02/2024 14:00,4.5
06/02/2024 15:00,4.37
06/02/2024 16:00,5.74
06/02/2024 17:00,7.06
06/02/2024 18:00,7.58
06/02/2024 19:00,9.25
06/02/2024 20:00,9.85
06/02/2024 21:00,8.88
06/02/2024 22:00,8.58
06/02/2024 23:00,7.56
07/02/2024 0:00,6.05
07/02/2024 1:00,5.38
07/02/2024 2:00,4.77
07/02/2024 3:00,4.41
07/02/2024 4:00,4.29
07/02/2024 5:00,4.81
07/02/2024 6:00,5.26
07/02/2024 7:00,7.24
07/02/2024 8:00,10
07/02/2024 9:00,9.33
07/02/2024 10:00,8.64
07/02/2024 11:00,8.39
07/02/2024 12:00,7.93
07/02/2024 13:00,7.63
07/02/2024 14:00,7.45
07/02/2024 15:00,7.65
07/02/2024 16:00,7.63
07/02/2024 17:00,8.48
07/02/2024 18:00,9.31
07/02/2024 19:00,11.3
07/02/2024 20:00,12.96
07/02/2024 21:00,10.76
07/02/2024 22:00,9.74
07/02/2024 23:00,8.94
08/02/2024 0:00,8.46
08/02/2024 1:00,7.78
08/02/2024 2:00,7.37
08/02/2024 3:00,7.32
08/02/2024 4:00,7.22
08/02/2024 5:00,7.11
08/02/2024 6:00,7.15
08/02/2024 7:00,7.77
08/02/2024 8:00,9.61
08/02/2024 9:00,10.83
08/02/2024 10:00,12.59
08/02/2024 11:00,10.69
08/02/2024 12:00,9.18
08/02/2024 13:00,7.65
08/02/2024 14:00,8.04
08/02/2024 15:00,7.16
08/02/2024 16:00,9.04
08/02/2024 17:00,9.54
08/02/2024 18:00,10.31
08/02/2024 19:00,11.2
08/02/2024 20:00,10.66
08/02/2024 21:00,10.41
08/02/2024 22:00,9.85
08/02/2024 23:00,9.1
09/02/2024 0:00,8.38
